Number,Name,RA,Dec,Vmag,SpType,Vsini,Nspectra,Comments
001,HD 225095,00 03 27.15,55 33 03.23,7.95,B2IVne,,340,
002,2 Cet,00 03 44.39,-17 20 09.57,4.543,B9IVne,,188,
003,10 Cas,00 06 26.54,64 11 46.21,5.567,B9IIIe,125,305,
004,HD 628,00 10 45.14,58 01 05.91,7.84,Be,,2,
005,V742 Cas,00 11 37.15,58 12 42.58,7.08,B5IIe,,213,
006,omi Cas,00 44 43.52,48 17 03.71,4.477,B5IIIe,195,612,
007,gam Cas,00 56 42.53,60 43 00.27,2.47,B0IVpe,432,11990,
008,V442 And,01 03 53.36,47 38 32.26,6.82,B2IVe,,16521,
009,HD 6343,01 05 52.98,65 58 15.79,7.257,B8e,,242,
010,phi And,01 09 30.13,47 14 30.46,4.252,B7Ve,85,3924,
011,V764 Cas,01 17 26.29,57 37 55.49,6.891,B2IIIne,,452,
012,HD 9709,01 36 03.09,47 06 52.10,7.07,B9e,350,438,
013,HD 9612,01 37 22.22,74 18 03.44,6.589,B9Ve,270,185,
014,ACHERNAR,01 37 42.85,-57 14 12.31,0.5,B6Vpe,235,661,
015,phi Per,01 43 39.64,50 41 19.43,4.09,B2Vpe,440,1665,
016,HD 232552,01 52 26.09,55 19 53.74,7.94,B0pe,,171,
017,eps Cas,01 54 23.73,63 40 12.36,3.342,B3IIIe,30,544,
018,V777 Cas,01 55 42.85,59 16 24.42,7.02,B2Vne,280,624,
019,V782 Cas,02 08 45.44,65 02 14.73,7.622,B6IIe,,231,
020,V549 Per,02 14 53.11,54 31 54.19,7.86,B2IVe,250,234,
021,HD 13669,02 15 02.61,55 47 35.59,7.9,B3IVe,350,199,
022,V787 Cas,02 15 12.97,64 01 28.02,7.9,B2IIIe,,207,
023,HD 13867,02 16 36.00,49 49 11.54,7.71,B5Ve,70,555,
024,tet Ari,02 18 07.54,19 54 04.19,5.575,B9IVe,178,653,
025,HD 17505,02 51 07.98,60 25 03.87,7.1,O6Ve,126,271,
026,HD 18552,03 00 11.89,38 07 54.27,6.119,B8Vne,288,796,
027,V801 Cas,03 08 54.18,62 23 04.55,6.503,B1Ve,160,262,
028,HD 20017,03 14 55.31,48 41 44.87,7.91,B5Ve,,69,
029,HD 20340,03 15 45.87,-16 49 43.49,7.96,B3Ve,200,151,
030,HD 20134,03 16 59.75,60 04 02.97,7.47,B2.5IVe,,292,
031,BK Cam,03 19 59.27,65 39 08.25,4.728,B2.5Vne,328,417,
032,HD 20566,03 23 33.10,71 25 06.76,7.94,B3Vne,,168,Herbig
033,HD 21362,03 28 52.33,49 50 54.17,5.578,B6Vne,385,342,
034,HD 21455,03 29 26.28,46 56 16.32,6.227,B7Ve,150,365,
035,HD 21650,03 31 15.68,41 43 35.24,7.33,B6e,230,246,
036,HD 21620,03 31 29.34,49 12 35.17,6.28,A0Vne,,211,
037,HD 21641,03 31 33.14,47 51 44.70,6.773,B8.5Ve,184,130,
038,psi Per,03 36 29.38,48 11 33.48,4.31,B5Ve,275,2236,
039,CT Cam,03 38 01.04,55 10 15.08,7.69,B2Vne,,600,
040,HD 22780,03 41 07.86,37 34 48.71,5.541,B7Vne,285,541,
041,13 Tau,03 42 18.95,19 42 00.92,5.681,B9Vne,235,393,
042,ELECTRA,03 44 52.54,24 06 48.01,3.705,B6IIIe,170,698,
043,MEROPE,03 46 19.57,23 56 54.08,4.164,B6IVe,240,840,
044,ALCYONE,03 47 29.08,24 06 18.49,2.873,B7IIIe,140,1252,
045,HD 23552,03 48 18.08,50 44 12.37,6.15,B8Vne,220,164,
046,PLEIONE,03 49 11.22,24 08 12.16,5.048,B8IVev,290,10410,
047,HD 23800,03 50 25.07,52 28 54.85,6.98,B1IVe,,262,
048,V581 Per,03 56 20.36,44 56 14.95,7.78,B1.5Vne,,174,
